Description,Country,total_orders,total_quantity,total_revenue
"METAL MERRY CHRISTMAS WREATH","United Kingdom",3,12,23.4
"BRIGHT BLUES RIBBONS ","United Kingdom",3,18,22.5
"POLKADOT PEN","United Kingdom",3,144,122.39999999999999
"SWEETHEART WIRE MAGAZINE RACK","United Kingdom",3,5,39.75
"CACTI T-LIGHT CANDLES","United Kingdom",3,160,67.2
"MAGIC DRAWING SLATE DINOSAUR","United Kingdom",3,26,10.92
"MAGIC DRAWING SLATE BAKE A CAKE ","United Kingdom",3,72,27.36
"SKULLS  WATER TRANSFER TATTOOS ","United Kingdom",3,23,19.55
"VICTORIAN GLASS HANGING T-LIGHT","United Kingdom",3,72,90
"RETRO MOD TRAY","United Kingdom",3,17,14.45
"CHEST OF DRAWERS GINGHAM HEART ","United Kingdom",3,5,84.75
"CARD BIRTHDAY COWBOY","United Kingdom",3,36,15.120000000000001
"BAG 500g SWIRLY MARBLES","United Kingdom",3,19,31.349999999999998
"5 STRAND GLASS NECKLACE CRYSTAL","United Kingdom",3,6,38.099999999999994
"BLACK CHRISTMAS TREE 60CM","United Kingdom",3,26,21.5
"SET 12 LAVENDER  BOTANICAL T-LIGHTS","United Kingdom",3,11,32.45
"NURSERY A,B,C PAINTED LETTERS","United Kingdom",3,4,27
"OFFICE MUG WARMER CHOC+BLUE","United Kingdom",3,13,38.35000000000001
"CAMOUFLAGE LED TORCH","United Kingdom",3,228,344.52
"CAKE STAND VICTORIAN FILIGREE MED","United Kingdom",3,10,67.5
"UNION JACK FLAG PASSPORT COVER ","United Kingdom",3,74,125.87999999999998
"GOLD MINI TAPE MEASURE ","United Kingdom",3,10,8.5
"SWEETHEART WIRE WALL TIDY","United Kingdom",3,5,49.75
"WATERING CAN GARDEN MARKER","United Kingdom",3,15,18.75
"SILVER PLATE CANDLE BOWL SMALL","United Kingdom",3,24,70.80000000000001
"PINK UNION JACK  LUGGAGE TAG","United Kingdom",3,3,3.75
"6 RIBBONS SHIMMERING PINKS ","United Kingdom",3,4,6.6
"OWL DOORSTOP","United Kingdom",3,5,24.75
"SET/10 BLUE POLKADOT PARTY CANDLES","United Kingdom",3,4,5
"VINTAGE PAISLEY STATIONERY SET","United Kingdom",3,3,8.850000000000001
"VICTORIAN  METAL POSTCARD SPRING","United Kingdom",3,29,49.010000000000005
"DOORSTOP RETROSPOT HEART","United Kingdom",3,13,48.75
"12 COLOURED PARTY BALLOONS","United Kingdom",3,18,11.700000000000001
"FLOWER VINE RAFFIA FOOD COVER","United Kingdom",3,4,15
"PINK HEART SHAPE PHOTO FRAME","United Kingdom",3,5,8.25
"SILVER DIAMANTE PEN IN GIFT BOX","United Kingdom",3,6,29.700000000000003
"BLUE JUICY FRUIT PHOTO FRAME","United Kingdom",3,13,33.15
"PINK HAPPY BIRTHDAY BUNTING","United Kingdom",3,18,98.10000000000001
"GLASS HEART T-LIGHT HOLDER ","United Kingdom",3,25,21.25
"WOOD STAMP SET THANK YOU","United Kingdom",3,19,31.349999999999998
"CREAM WALL PLANTER HEART SHAPED","United Kingdom",3,5,29.75
"YELLOW SHARK HELICOPTER","United Kingdom",3,3,23.85
"DOLLY GIRL CHILDRENS EGG CUP","United Kingdom",3,4,5
"GARDEN METAL SIGN ","United Kingdom",3,16,26.399999999999995
"PACK OF 12 TRADITIONAL CRAYONS","United Kingdom",3,37,15.54
"SET OF 6 STRAWBERRY CHOPSTICKS","United Kingdom",3,16,20
"WOODEN UNION JACK BUNTING","United Kingdom",3,6,35.7
"12 PENCILS TALL TUBE WOODLAND","United Kingdom",3,12,10.2
"GAOLERS KEYS DECORATIVE GARDEN ","United Kingdom",3,29,100.11
"TOTE BAG I LOVE LONDON","United Kingdom",3,14,29.400000000000002
"COSY SLIPPER SHOES SMALL GREEN","United Kingdom",3,9,26.550000000000004
"5 HOOK HANGER RED MAGIC TOADSTOOL","United Kingdom",3,10,16.499999999999996
"PACK OF 20 NAPKINS PANTRY DESIGN","United Kingdom",3,4,3.4
"CHARLOTTE BAG DOLLY GIRL DESIGN","United Kingdom",3,14,11.899999999999999
"MEASURING TAPE BABUSHKA PINK","United Kingdom",3,66,170.7
"VINTAGE KID DOLLY CARD ","United Kingdom",3,48,18.72
"MIRROR LOVE BIRD T-LIGHT HOLDER","United Kingdom",3,38,52.5
"HANGING JAM JAR T-LIGHT HOLDER","United Kingdom",3,264,193.20000000000002
"RED RETROSPOT PURSE ","United Kingdom",3,13,38.35000000000001
"BLUE POLKADOT PUDDING BOWL","United Kingdom",3,9,18.900000000000002
"MONSTERS STENCIL CRAFT","United Kingdom",3,7,8.75
"FANNY'S REST STOPMETAL SIGN","United Kingdom",3,18,37.800000000000004
"GIN AND TONIC MUG","United Kingdom",3,19,23.75
"CHOCOLATE THIS WAY METAL SIGN","United Kingdom",3,38,79.80000000000001
"PINK  POLKADOT PLATE ","United Kingdom",3,10,16.9
"LOVE HEART POCKET WARMER","United Kingdom",3,8,13.2
"MONEY BOX KINGS CHOICE DESIGN","United Kingdom",3,19,23.75
"MONEY BOX POCKET MONEY DESIGN","United Kingdom",3,19,23.75
"ENAMEL WATERING CAN CREAM","United Kingdom",3,4,19.8
"CREAM SWEETHEART MINI CHEST","United Kingdom",3,6,76.5
"LARGE CAKE STAND  HANGING STRAWBERY","United Kingdom",3,6,59.699999999999996
"BLUE POLKADOT PLATE ","United Kingdom",3,10,16.9
"DECOUPAGE,GREETING CARD,","United Kingdom",3,72,30.24
"6 RIBBONS RUSTIC CHARM",Germany,3,48,79.19999999999999
"CREAM SLICE FLANNEL CHOCOLATE SPOT ","United Kingdom",3,9,26.55
"GREEN POLKADOT PLATE ","United Kingdom",3,10,16.9
"ANGEL DECORATION STARS ON DRESS","United Kingdom",3,55,23.1
"PAINTED METAL HEART WITH HOLLY BELL","United Kingdom",3,8,11.599999999999998
"MOROCCAN TEA GLASS","United Kingdom",3,36,30.599999999999998
"RED HEART SHAPE LOVE BUCKET ","United Kingdom",3,10,29.5
"LARGE PURPLE BABUSHKA NOTEBOOK  ","United Kingdom",3,4,5
"200 RED + WHITE BENDY STRAWS","United Kingdom",3,14,17.5
"URBAN BLACK RIBBONS ","United Kingdom",3,8,10
"DO NOT TOUCH MY STUFF DOOR HANGER ","United Kingdom",3,14,20.299999999999997
"PINK VINTAGE PAISLEY PICNIC BAG","United Kingdom",3,8,23.6
"BLUE POLKADOT BOWL","United Kingdom",3,10,12.5
"FAIRY CAKE NOTEBOOK A5 SIZE","United Kingdom",3,29,24.65
"PINK  POLKADOT CUP","United Kingdom",3,17,14.45
"PARTY BUNTING","United Kingdom",3,8,37.199999999999996
"PHARMACIE FIRST AID TIN","United Kingdom",3,10,67.5
"BEADED PEARL HEART WHITE LARGE","United Kingdom",3,27,44.54999999999999
"NO SINGING METAL SIGN","United Kingdom",3,16,33.6
"12 RED ROSE PEG PLACE SETTINGS","United Kingdom",3,5,6.25
"COFFEE MUG BLUE PAISLEY DESIGN","United Kingdom",3,13,33.15
"SET/3 OCEAN SCENT CANDLE JEWEL BOX","United Kingdom",3,12,51
"FELTCRAFT HAIRBAND PINK AND BLUE","United Kingdom",3,15,12.749999999999998
"SET OF 72 PINK HEART PAPER DOILIES","United Kingdom",3,14,20.299999999999997
"POTTERING MUG","United Kingdom",3,5,6.25
"CALENDAR PAPER CUT DESIGN","United Kingdom",3,7,20.650000000000002
"HAPPY STENCIL CRAFT","United Kingdom",3,7,8.75
"ASS DES PHONE SPONGE CRAFT STICKER","United Kingdom",3,62,40.3
"12 IVORY ROSE PEG PLACE SETTINGS","United Kingdom",3,7,8.75
"200 BENDY SKULL STRAWS","United Kingdom",3,14,17.5
"LARGE CAKE TOWEL PINK SPOTS","United Kingdom",3,5,33.75
"ASSORTED TUTTI FRUTTI BRACELET","United Kingdom",3,6,3.9
"VINTAGE CREAM DOG FOOD CONTAINER","United Kingdom",3,4,34
"JIGSAW TREE WITH BIRDHOUSE","United Kingdom",3,15,21.749999999999996
"TEA FOR ONE POLKADOT","United Kingdom",3,3,12.75
"PINK KNITTED EGG COSY","United Kingdom",3,6,11.7
"SMALL POLKADOT CHOCOLATE GIFT BAG ","United Kingdom",3,60,51
"GARLAND WITH STARS AND BELLS","United Kingdom",2,7,34.650000000000006
"MAGNETS PACK OF 4 CHILDHOOD MEMORY","United Kingdom",2,24,30
"TOAST ITS - HAPPY BIRTHDAY","United Kingdom",2,4,5
"WOODEN ADVENT CALENDAR RED","United Kingdom",2,4,67.8
"CHRISTMAS GARLAND STARS,TREES","United Kingdom",2,13,48.75
"WHITE WOOD GARDEN PLANT LADDER","United Kingdom",2,3,29.849999999999998
"GLASS JAR DIGESTIVE BISCUITS","United Kingdom",2,2,5.9
"SET/4 MODERN VINTAGE COTTON NAPKINS","United Kingdom",2,4,11.8
"SWALLOW SQUARE TISSUE BOX","United Kingdom",2,2,2.5
"NO JUNK MAIL METAL SIGN","United Kingdom",2,7,8.75
"SLATE TILE NATURAL HANGING","United Kingdom",2,5,8.25
"BIRD BOX CHRISTMAS TREE DECORATION","United Kingdom",2,17,14.45
"WOODEN ADVENT CALENDAR CREAM","United Kingdom",2,3,50.849999999999994
"DOORMAT BLACK FLOCK ","United Kingdom",2,2,15.9
"MAKE YOUR OWN PLAYTIME CARD KIT","United Kingdom",2,2,5.9
"WOOD AND GLASS MEDICINE CABINET","United Kingdom",2,2,59.9
"SET OF 2 TINS JARDIN DE PROVENCE","United Kingdom",2,4,19.8
"DOORMAT PEACE ON EARTH BLUE","United Kingdom",2,6,47.7
"FRENCH BLUE METAL DOOR SIGN 1","United Kingdom",2,11,13.75
"TOAST ITS - FAIRY FLOWER","United Kingdom",2,13,16.25
"GROW YOUR OWN PLANT IN A CAN ","United Kingdom",2,48,60
"EMBOSSED GLASS TEALIGHT HOLDER","United Kingdom",2,30,37.5
"EUCALYPTUS & PINECONE  WREATH","United Kingdom",2,4,27
"CARDHOLDER GINGHAM STAR","United Kingdom",2,12,30.599999999999998
"HEART T-LIGHT HOLDER ","United Kingdom",2,10,14.5
"BLACK ORANGE SQUEEZER","United Kingdom",2,13,5.46
"EDWARDIAN PARASOL PINK","United Kingdom",2,50,232.7
"STAR  T-LIGHT HOLDER ","United Kingdom",2,5,7.25
"BREAD BIN DINER STYLE IVORY","United Kingdom",2,5,76.75
"3 TRADITIONAL COOKIE CUTTERS  SET","United Kingdom",2,12,25.200000000000003
"SWIRLY CIRCULAR RUBBERS IN BAG","United Kingdom",2,2,0.84
"FEATHER PEN,HOT PINK","United Kingdom",2,24,20.4
"LIPSTICK PEN FUSCHIA","United Kingdom",2,13,5.46
"CHRISTMAS CARD STACK OF PRESENTS","United Kingdom",2,24,10.08
"BLACK DIAMANTE EXPANDABLE RING","United Kingdom",2,3,12.75
"TOOL BOX SOFT TOY ","United Kingdom",2,2,17.9
"WATERING CAN BLUE ELEPHANT","United Kingdom",2,30,58.5
"VINTAGE BILLBOARD TEA MUG","United Kingdom",2,24,30
"STARS GIFT TAPE ","United Kingdom",2,25,16.25
"SET OF 2 TINS VINTAGE BATHROOM ","United Kingdom",2,3,12.75
"GREEN FERN JOURNAL ","United Kingdom",2,3,7.6499999999999995
"RIBBON REEL FLORA + FAUNA ","United Kingdom",2,2,3.3
"CUTE CATS TAPE","United Kingdom",2,13,8.450000000000001
"RED POLKADOT COFFEE  MUG","United Kingdom",2,3,6.300000000000001
"TOOTHPASTE TUBE PEN","United Kingdom",2,14,9.100000000000001
"CREAM SWEETHEART EGG HOLDER","United Kingdom",2,3,14.850000000000001
"DECORATIVE PLANT POT WITH FRIEZE","United Kingdom",2,3,23.85
"FRENCH BLUE METAL DOOR SIGN 5","United Kingdom",2,22,27.5
"FAIRY SOAP SOAP HOLDER","United Kingdom",2,17,28.73
"JOY WOODEN BLOCK LETTERS","United Kingdom",2,4,19.8
"PLACE SETTING WHITE STAR","United Kingdom",2,36,15.120000000000001
"TOAST ITS - I LOVE YOU ","United Kingdom",2,26,32.5
"LADYBIRD + BEE RAFFIA FOOD COVER","United Kingdom",2,7,26.25
"CHILDRENS GARDEN GLOVES BLUE","United Kingdom",2,2,2.5
"SMALL CHINESE STYLE SCISSOR","United Kingdom",2,14,5.88
"RED FLOWER CROCHET FOOD COVER","United Kingdom",2,2,7.5
"POLKA DOT RAFFIA FOOD COVER","United Kingdom",2,2,7.5
"BAG 250g SWIRLY MARBLES","United Kingdom",2,13,11.049999999999999
"POLKADOT MUG PINK ","United Kingdom",2,12,19.799999999999997
"HYACINTH BULB T-LIGHT CANDLES","United Kingdom",2,48,20.16
"FAIRY CAKE BIRTHDAY CANDLE SET","United Kingdom",2,8,30
"ROSE 3 WICK MORRIS BOX CANDLE","United Kingdom",2,2,8.5
"YELLOW GIANT GARDEN THERMOMETER","United Kingdom",2,4,23.8
"RED RETROSPOT CHILDRENS UMBRELLA","United Kingdom",2,25,81.25
"BROCANTE SHELF WITH HOOKS","United Kingdom",2,6,64.5
"PICTURE FRAME WOOD TRIPLE PORTRAIT","United Kingdom",2,7,47.25
"RED RETROSPOT TISSUE BOX","United Kingdom",2,8,10
"METAL SIGN EMPIRE TEA","United Kingdom",2,12,35.400000000000006
"RETRO PLASTIC ELEPHANT TRAY","United Kingdom",2,2,1.7
"GIRLS VINTAGE TIN SEASIDE BUCKET","United Kingdom",2,10,25.5
"PHOTO FRAME 3 CLASSIC HANGING","United Kingdom",2,4,39.8
"BOYS VINTAGE TIN SEASIDE BUCKET","United Kingdom",2,13,33.15
"STRAWBERRY HONEYCOMB  GARLAND ","United Kingdom",2,13,21.449999999999996
"PINK POLKADOT BOWL","United Kingdom",2,9,11.25
"SHOE SHINE BOX ","United Kingdom",2,3,29.849999999999998
"VANILLA INCENSE 40 CONES IN TIN","United Kingdom",2,7,8.75
"COLUMBIAN CANDLE ROUND ","United Kingdom",2,7,8.75
"ADVENT CALENDAR GINGHAM SACK","United Kingdom",2,3,17.85
"CHILDREN'S CIRCUS PARADE MUG","United Kingdom",2,2,3.3
"HEART DECORATION PAINTED ZINC ","United Kingdom",2,34,22.1
"HANGING CHICK  YELLOW DECORATION","United Kingdom",2,2,2.9
"SET OF 72 SKULL PAPER  DOILIES","United Kingdom",2,13,18.849999999999998
"SET OF 36 PAISLEY FLOWER DOILIES","United Kingdom",2,3,4.35
"BLUE GLASS CHUNKY CHARM BRACELET","United Kingdom",2,2,17.9
"SCOTTIES CHILDRENS APRON","United Kingdom",2,2,3.3
"12 PENCILS TALL TUBE POSY","United Kingdom",2,7,5.95
"ALARM CLOCK BAKELIKE PINK",France,2,28,105
"PINK FLOWER CROCHET FOOD COVER","United Kingdom",2,2,7.5
"ALARM CLOCK BAKELIKE RED ",France,2,28,105
"ALARM CLOCK BAKELIKE GREEN",France,2,16,60
"LIPSTICK PEN RED","United Kingdom",2,48,20.16
"EMPIRE BIRTHDAY CARD","United Kingdom",2,36,15.120000000000001
"JOY LARGE WOOD LETTERS","United Kingdom",2,2,19.9
"VINTAGE HEADS AND TAILS CARD GAME ",France,2,36,45
"ROUND SNACK BOXES SET OF4 WOODLAND ",France,2,30,88.50000000000001
"PANDA AND BUNNIES STICKER SHEET","United Kingdom",2,24,20.4
"S/4 VALENTINE DECOUPAGE HEART BOX","United Kingdom",2,13,38.35000000000001
"WOOD STAMP SET BEST WISHES","United Kingdom",2,13,21.449999999999996
"WRAP PINK FAIRY CAKES ","United Kingdom",2,50,21
"CARD CAT AND TREE ","United Kingdom",2,36,15.120000000000001
"LUNCH BOX I LOVE LONDON",France,2,36,70.19999999999999
"CARD DOG AND BALL ","United Kingdom",2,24,10.08
"DIAMANTE BOW BROOCH BLACK COLOUR","United Kingdom",2,5,31.75
"DIAMANTE BOW BROOCH RED COLOUR","United Kingdom",2,6,38.1
"BLACK GEMSTONE BRACELET","United Kingdom",2,2,17.9
"HANGING BAUBLE T-LIGHT HOLDER LARGE","United Kingdom",2,4,11.8
"JUMBO BAG SPACEBOY DESIGN","United Kingdom",2,9,17.55
"CHARLOTTE BAG DOLLY GIRL DESIGN",France,2,30,25.5
"FOLDING UMBRELLA RED/WHITE POLKADOT","United Kingdom",2,2,9.9
"GOLD PRINT PAPER BAG","United Kingdom",2,19,3.6100000000000003
"BLUE PAISLEY POCKET BOOK","United Kingdom",2,7,5.949999999999999
"FOLDING UMBRELLA PINKWHITE POLKADOT","United Kingdom",2,2,9.9
"SET OF 6 CAKE CHOPSTICKS","United Kingdom",2,7,8.75
"MINI JIGSAW SPACEBOY",France,2,48,20.16
"PORCELAIN ROSE LARGE ","United Kingdom",2,15,18.75
"DOCTOR'S BAG SOFT TOY","United Kingdom",2,9,80.55
"PINK HORSE SOCK PUPPET","United Kingdom",2,2,5.9
"AIRLINE LOUNGE,METAL SIGN","United Kingdom",2,14,29.400000000000002
"PHOTO CLIP LINE","United Kingdom",2,4,5
"SKULL SHOULDER BAG","United Kingdom",2,11,18.15
"BIG DOUGHNUT FRIDGE MAGNETS","United Kingdom",2,14,11.899999999999999
"BLACK ENCHANTED FOREST PLACEMAT","United Kingdom",2,126,183.9
"WRAP GREEN PEARS ","United Kingdom",2,50,21
"YELLOW BREAKFAST CUP AND SAUCER","United Kingdom",2,2,5.9
"TEA TIME DES TEA COSY","United Kingdom",2,8,20.4
"12 DAISY PEGS IN WOOD BOX","United Kingdom",2,3,4.949999999999999
"AIRLINE BAG VINTAGE JET SET BROWN","United Kingdom",2,3,12.75
"BLUE OWL SOFT TOY","United Kingdom",2,5,14.75
"TWO DOOR CURIO CABINET","United Kingdom",2,4,51
"WHITE JEWELLED HEART DECORATION","United Kingdom",2,72,61.199999999999996
" 4 PURPLE FLOCK DINNER CANDLES","United Kingdom",2,14,35.699999999999996
"RED RETROSPOT SHOPPER BAG","United Kingdom",2,20,25
"RED RETROSPOT TAPE","United Kingdom",2,22,14.3
"GUMBALL MONOCHROME COAT RACK","United Kingdom",2,37,39.410000000000004
"CHOCOLATE CALCULATOR","United Kingdom",2,24,39.599999999999994
"ELEPHANT, BIRTHDAY CARD, ","United Kingdom",2,84,32.4
"PINK & WHITE BREAKFAST TRAY","United Kingdom",2,3,17.85
"ENGLISH ROSE SPIRIT LEVEL ","United Kingdom",2,2,3.9
"EMERGENCY FIRST AID TIN ","United Kingdom",2,7,8.75
"3 TIER CAKE TIN RED AND CREAM","United Kingdom",2,4,59.8
"SMALL WHITE RETROSPOT MUG IN BOX ","United Kingdom",2,7,26.25
"HANGING MEDINA LANTERN SMALL","United Kingdom",2,8,23.6
"HAND OPEN SHAPE GOLD","United Kingdom",2,43,146.63
"WHITE LOVEBIRD LANTERN","United Kingdom",2,8,23.6
"SNOWSTORM PHOTO FRAME FRIDGE MAGNET","United Kingdom",2,3,2.55
"PACK OF 12 WOODLAND TISSUES ","United Kingdom",2,49,14.209999999999997
"RED POLKADOT PUDDING BOWL","United Kingdom",2,3,6.300000000000001
"ORGANISER WOOD ANTIQUE WHITE ","United Kingdom",2,4,34
"SPACE FROG","United Kingdom",2,11,13.75
"SPACE OWL","United Kingdom",2,2,2.5
"GARDEN PATH SKETCHBOOK","United Kingdom",2,2,7.5
"ROSE CARAVAN DOORSTOP","United Kingdom",2,5,33.75
"MODERN FLORAL STATIONERY SET","United Kingdom",2,7,20.650000000000002
"BLACK TEA TOWEL CLASSIC DESIGN","United Kingdom",2,5,6.25
